,codigo,setor,precoAtual,liquidezDiaria,dividendo,dividendYield,dividendYieldAnual,variacaoPreco,pvp,vacanciaFisica,vacanciaFinanceira
317,XPCM11,Lajes Corporativas,"R$ 13,19",3107.0,"R$ 0,12","0,82%","1,49%","-18,15%","0,30","100,00%",N/A
318,XPHT11,Hotel,"R$ 102,50",500.0,"R$ 1,10","1,05%","2,17%","-5,41%","1,09","64,90%",N/A
319,XPID11,Renda,"R$ 84,29",11320.0,"R$ 0,45","0,53%","0,53%","0,00%",N/A,N/A,N/A
320,XPIN11,Outros,"R$ 68,25",2935.0,"R$ 0,65","0,94%","1,86%","-2,24%","0,66","17,30%","12,00%"
321,XPLG11,Logística,"R$ 93,20",29570.0,"R$ 0,74","0,79%","1,60%","2,83%","0,82","8,80%","1,20%"
322,XPML11,Shoppings,"R$ 94,74",95038.0,"R$ 0,78","0,81%","1,60%","-0,67%","0,96","3,90%",N/A
323,XPPR11,Outros,"R$ 26,71",24041.0,"R$ 0,10","0,33%","1,25%","-7,34%","0,36","46,00%","0,00%"
324,XPSF11,Outros,"R$ 7,00",99603.0,"R$ 0,08","1,09%","2,12%","-3,71%","0,87",N/A,N/A
325,XTED11,Lajes Corporativas,"R$ 8,82",2223.0,"R$ 0,00","0,00%","0,00%","1,10%","0,67","0,00%","100,00%"
326,YUFI11B,Residencial,N/A,N/A,"R$ 0,63","0,00%",N/A,"0,00%",N/A,N/A,N/A
327,ZAVI11,Híbrido,"R$ 126,00",373.0,"R$ 1,05","0,00%",N/A,"0,00%","0,99",N/A,N/A
